"Latest: Time (s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Acceleration (m/s²)"
0,-2.08252593769,0,-1.35331478856
0.02,-1.88659431376,0.02,-2.05307058832
0.04,-1.49473106589,0.04,-2.3889533722
0.06,-1.01889712206,0.06,-2.08106082031
0.08,-0.711004570169,0.08,-2.19302174827
0.1,-1.43875060191,0.1,-2.47292406817
0.12,-0.263160858325,0.12,-2.64086546011
0.14,-0.487082714247,0.14,-2.64086546011
0.16,-0.822965498129,0.16,-2.33297290822
0.18,0.35262424546,0.18,-3.17267986793
0.2,0.828458189294,0.2,-2.80880685205
0.22,0.184682853519,0.22,-3.03272870798
0.24,0.604536333372,0.24,-2.86478731603
0.26,0.184682853519,0.26,-2.83679708404
0.28,0.492575405411,0.28,-3.03272870798
0.3,1.33228236512,0.3,-2.80880685205
0.32,1.22032143716,0.32,-2.78081662006
0.34,1.61218468502,0.34,-2.78081662006
0.36,2.17198932483,0.36,-2.89277754802
0.38,1.64017491701,0.38,-2.52890453215
0.4,2.11600886084,0.4,-2.6688556921
0.42,1.92007723691,0.42,-2.50091430016
0.44,2.36792094876,0.44,-2.6688556921
0.46,2.00404793288,0.46,-2.44493383618
0.48,2.47988187672,0.48,-2.50091430016
0.5,2.78777442861,0.5,-1.71718780443
0.52,2.64782326866,0.52,-2.33297290822
0.54,2.87174512458,0.54,-2.1090510523
0.56,2.95571582055,0.56,-1.71718780443
0.58,2.8157646606,0.58,-1.71718780443
0.6,2.92772558856,0.6,-1.68919757244
0.62,2.92772558856,0.62,-0.793510148757
0.64,2.92772558856,0.64,0.0741870429402
0.66,2.92772558856,0.66,-1.15738316463
0.68,2.87174512458,0.68,-0.961451540698
0.7,2.78777442861,0.7,-0.681549220796
0.72,2.73179396463,0.72,-0.149734812982
0.74,2.61983303667,0.74,0.0741870429402
0.76,2.64782326866,0.76,0.158157738911
0.78,2.36792094876,0.78,0.10217727493
0.8,2.17198932483,0.8,0.494040522794
0.82,1.75213584497,0.82,0.745952610706
0.84,2.03203816487,0.84,0.689972146725
0.86,1.97605770089,0.86,0.829923306676
0.88,1.83610654094,0.88,1.02585493061
0.9,1.64017491701,0.9,1.44570841046
0.92,1.92007723691,0.92,1.55766933842
0.94,1.13635074119,0.94,1.72561073036
0.96,1.08037027721,0.96,1.55766933842
0.98,0.968409349245,0.98,2.28541537017
1,1.08037027721,1,2.17345444221
1.02,1.05238004522,1.02,2.50933722609
1.04,0.940419117255,1.04,2.81722977798
1.06,0.100712157548,1.06,2.17345444221
1.08,0.072721925558,1.08,2.81722977798
1.1,-0.347131554295,1.1,2.4813469941
1.12,-0.347131554295,1.12,2.67727861803
1.14,-0.515072946237,1.14,2.78923954599
1.16,-0.543063178227,1.16,2.78923954599
1.18,-0.543063178227,1.18,2.73325908201
1.2,-1.15884828201,1.2,2.84522000997
1.22,-1.43875060191,1.22,2.73325908201
1.24,-1.71865292182,1.24,2.67727861803
1.26,-1.43875060191,1.26,2.64928838604
1.28,-2.02654547371,1.28,2.67727861803
1.3,-1.99855524172,1.3,2.56531769007
1.32,-1.7746333858,1.32,2.4813469941
1.34,-2.47438918555,1.34,2.39737629813
1.36,-2.19448686565,1.36,2.22943490619
1.38,-2.55835988152,1.38,2.59330792206
1.4,-2.64233057749,1.4,2.39737629813
1.42,-2.95022312939,1.42,2.08948374624
1.44,-2.86625243342,1.44,1.89355212231
1.46,-2.72630127347,1.46,1.72561073036
1.48,-2.9222328974,1.48,1.72561073036
1.5,-3.28610591327,1.5,1.44570841046
1.52,-2.95022312939,1.52,1.30575725051
1.54,-3.28610591327,1.54,0.913894002647
1.56,-2.97821336138,1.56,1.08183539459
1.58,-2.97821336138,1.58,0.661981914735
1.6,-3.2021352173,1.6,0.578011218764
1.62,-3.00620359337,1.62,0.438060058813
1.64,-2.81027196944,1.64,0.270118666872
1.66,-2.6143403455,1.66,0.242128434882
1.68,-2.55835988152,1.68,0.186147970901
1.7,-3.2021352173,1.7,-0.485617596864
1.72,-2.44639895356,1.72,-0.373656668904
1.74,-2.64233057749,1.74,-0.569588292835
1.76,-2.69831104147,1.76,-1.2413538606
1.78,-2.39041848958,1.78,-0.709539452786
1.8,-2.08252593769,1.8,-0.989441772689
1.82,-2.08252593769,1.82,-1.32532455657
1.84,-1.99855524172,1.84,-1.35331478856
1.86,-1.80262361779,1.86,0.661981914735
1.88,-1.66267245784,1.88,-1.12939293264
1.9,-1.66267245784,1.9,-1.99709012434
1.92,-1.4667408339,1.92,-2.27699244424
1.94,-0.85095573012,1.94,-2.13704128429
1.96,-1.24281897798,1.96,-1.63321710846
1.98,-0.683014338178,1.98,-2.55689476414
