"Latest: Time (s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Acceleration (m/s²)"
0,3.12365721249,0,-1.35331478856
0.02,3.45953999638,0.02,-2.05307058832
0.04,3.48753022837,0.04,-2.3889533722
0.06,3.29159860443,0.06,-2.08106082031
0.08,3.43154976439,0.08,-2.19302174827
0.1,3.31958883642,0.1,-2.47292406817
0.12,3.37556930041,0.12,-2.64086546011
0.14,3.4035595324,0.14,-2.64086546011
0.16,3.43154976439,0.16,-2.33297290822
0.18,3.43154976439,0.18,-3.17267986793
0.2,3.26360837244,0.2,-2.80880685205
0.22,3.17963767647,0.22,-3.03272870798
0.24,3.15164744448,0.24,-2.86478731603
0.26,3.06767674851,0.26,-2.83679708404
0.28,2.75978419662,0.28,-3.03272870798
0.3,2.45189164473,0.3,-2.80880685205
0.32,2.59184280468,0.32,-2.78081662006
0.34,1.97605770089,0.34,-2.78081662006
0.36,1.69615538099,0.36,-2.89277754802
0.38,1.92007723691,0.38,-2.52890453215
0.4,1.72414561298,0.4,-2.6688556921
0.42,1.61218468502,0.42,-2.50091430016
0.44,1.50022375706,0.44,-2.6688556921
0.46,0.996399581236,0.46,-2.44493383618
0.48,1.19233120517,0.48,-2.50091430016
0.5,0.26865354949,0.5,-1.71718780443
0.52,0.548555869392,0.52,-2.33297290822
0.54,0.632526565363,0.54,-2.1090510523
0.56,0.072721925558,0.56,-1.71718780443
0.58,-0.179190162354,0.58,-1.71718780443
0.6,-0.235170626335,0.6,-1.68919757244
0.62,-0.85095573012,0.62,-0.793510148757
0.64,-0.711004570169,0.64,0.0741870429402
0.66,-0.515072946237,0.66,-1.15738316463
0.68,-1.29879944196,0.68,-0.961451540698
0.7,-0.794975266139,0.7,-0.681549220796
0.72,-2.30644779361,0.72,-0.149734812982
0.74,-1.7746333858,0.74,0.0741870429402
0.76,-1.88659431376,0.76,0.158157738911
0.78,-1.85860408177,0.78,0.10217727493
0.8,-2.16649663366,0.8,0.494040522794
0.82,-2.30644779361,0.82,0.745952610706
0.84,-2.64233057749,0.84,0.689972146725
0.86,-2.83826220143,0.86,0.829923306676
0.88,-2.72630127347,0.88,1.02585493061
0.9,-2.83826220143,0.9,1.44570841046
0.92,-2.64233057749,0.92,1.55766933842
0.94,-2.69831104147,0.94,1.72561073036
0.96,-2.83826220143,0.96,1.55766933842
0.98,-3.14615475332,0.98,2.28541537017
1,-3.4820375372,1,2.17345444221
1.02,-3.59399846516,1.02,2.50933722609
1.04,-3.4820375372,1.04,2.81722977798
1.06,-3.2021352173,1.06,2.17345444221
1.08,-3.28610591327,1.08,2.81722977798
1.1,-3.37007660924,1.1,2.4813469941
1.12,-3.14615475332,1.12,2.67727861803
1.14,-2.86625243342,1.14,2.78923954599
1.16,-2.67032080948,1.16,2.78923954599
1.18,-2.78228173745,1.18,2.73325908201
1.2,-2.97821336138,1.2,2.84522000997
1.22,-3.06218405735,1.22,2.73325908201
1.24,-2.81027196944,1.24,2.67727861803
1.26,-2.83826220143,1.26,2.64928838604
1.28,-1.94257477774,1.28,2.67727861803
1.3,-2.02654547371,1.3,2.56531769007
1.32,-1.97056500973,1.32,2.4813469941
1.34,-1.99855524172,1.34,2.39737629813
1.36,-2.08252593769,1.36,2.22943490619
1.38,-1.186838514,1.38,2.59330792206
1.4,-1.10286781803,1.4,2.39737629813
1.42,-1.52272129789,1.42,2.08948374624
1.44,-0.683014338178,1.44,1.89355212231
1.46,-0.487082714247,1.46,1.72561073036
1.48,-0.0392390024029,1.48,1.72561073036
1.5,0.380614477451,1.5,1.44570841046
1.52,0.072721925558,1.52,1.30575725051
1.54,0.184682853519,1.54,0.913894002647
1.56,1.16434097318,1.56,1.08183539459
1.58,0.884438653275,1.58,0.661981914735
1.6,0.464585173421,1.6,0.578011218764
1.62,0.884438653275,1.62,0.438060058813
1.64,1.24831166915,1.64,0.270118666872
1.66,1.52821398905,1.66,0.242128434882
1.68,1.30429213313,1.68,0.186147970901
1.7,2.00404793288,1.7,-0.485617596864
1.72,1.78012607696,1.72,-0.373656668904
1.74,2.00404793288,1.74,-0.569588292835
1.76,2.31194048478,1.76,-1.2413538606
1.78,2.59184280468,1.78,-0.709539452786
1.8,2.2559600208,1.8,-0.989441772689
1.82,2.56385257269,1.82,-1.32532455657
1.84,2.73179396463,1.84,-1.35331478856
1.86,2.64782326866,1.86,0.661981914735
1.88,2.8157646606,1.88,-1.12939293264
1.9,2.87174512458,1.9,-1.99709012434
1.92,2.87174512458,1.92,-2.27699244424
1.94,3.17963767647,1.94,-2.13704128429
1.96,3.03968651652,1.96,-1.63321710846
1.98,3.03968651652,1.98,-2.55689476414
2,2.98370605254,2,-2.02508035633
2.02,2.98370605254,2.02,-2.22101198026
2.04,2.98370605254,2.04,-2.52890453215
2.06,2.84375489259,2.06,-2.6688556921
2.08,2.70380373264,2.08,-2.58488499613
2.1,3.06767674851,2.1,-2.75282638807
2.12,2.39591118075,2.12,-2.69684592409
2.14,2.73179396463,2.14,-2.58488499613
2.16,2.59184280468,2.16,-2.69684592409
2.18,2.33993071677,2.18,-2.61287522812
2.2,2.33993071677,2.2,-2.78081662006
2.22,2.08801862885,2.22,-2.61287522812
2.24,1.92007723691,2.24,-2.50091430016
2.26,2.00404793288,2.26,-2.50091430016
2.28,1.668165149,2.28,-2.33297290822
2.3,1.44424329308,2.3,-2.22101198026
2.32,1.61218468502,2.32,-2.41694360419
2.34,0.772477725314,2.34,-2.44493383618
2.36,0.912428885265,2.36,-1.8291487324
2.38,0.576546101382,2.38,-1.94110966036
2.4,0.32463401347,2.4,-1.5212561805
2.42,0.29664378148,2.42,-1.8291487324
2.44,-0.151199930364,2.44,-1.74517803642
2.46,0.35262424546,2.46,-2.13704128429
2.48,-0.683014338178,2.48,-0.681549220796
2.5,-0.515072946237,2.5,-0.625568756816
2.52,-0.9069361941,2.52,-1.21336362861
2.54,-0.738994802159,2.54,-0.541598060845
2.56,-0.87894596211,2.56,-0.765519916767
2.58,-1.49473106589,2.58,-0.0937543490012
2.6,-0.990906890071,2.6,-0.00978365303054
2.62,-2.22247709764,2.62,0.494040522794
2.64,-2.02654547371,2.64,0.158157738911
2.66,-1.97056500973,2.66,0.130167506921
2.68,-1.94257477774,2.68,0.550020986774
2.7,-1.55071152988,2.7,0.745952610706
2.72,-2.3344380256,2.72,0.857913538667
2.74,-2.64233057749,2.74,0.801933074686
2.76,-1.94257477774,2.76,1.13781585857
2.78,-2.50237941754,2.78,1.47369864245
2.8,-2.69831104147,2.8,1.86556189032
2.82,-2.67032080948,2.82,1.58565957041
2.84,-2.95022312939,2.84,1.66963026638
2.86,-2.78228173745,2.86,2.03350328226
2.88,-2.83826220143,2.88,2.00551305027
2.9,-2.97821336138,2.9,2.03350328226
2.92,-2.97821336138,2.92,2.4813469941
2.94,-2.83826220143,2.94,2.31340560216
2.96,-3.06218405735,2.96,2.22943490619
2.98,-2.72630127347,2.98,2.06149351425
3,-2.6143403455,3,2.25742513818
3.02,-2.50237941754,3.02,2.42536653012
3.04,-2.58635011351,3.04,2.45335676211
3.06,-2.83826220143,3.06,2.56531769007
3.08,-2.19448686565,3.08,2.50933722609
3.1,-1.74664315381,3.1,2.45335676211
3.12,-2.3344380256,3.12,2.36938606614
3.14,-2.13850640167,3.14,2.50933722609
3.16,-1.94257477774,3.16,2.25742513818
3.18,-1.69066268983,3.18,2.11747397823
3.2,-1.74664315381,3.2,2.03350328226
3.22,-1.35477990594,3.22,2.17345444221
3.24,-1.32678967395,3.24,2.31340560216
3.26,-1.27080920997,3.26,2.28541537017
3.28,-1.32678967395,3.28,1.94953258629
3.3,-0.990906890071,3.3,1.80958142633
3.32,-0.822965498129,3.32,1.6136498024
3.34,-0.822965498129,3.34,1.66963026638
3.36,-0.179190162354,3.36,1.22178655454
3.38,-0.0672292343932,3.38,1.38972794648
3.4,-0.487082714247,3.4,0.410069826823
3.42,0.156692621529,3.42,1.22178655454
3.44,0.632526565363,3.44,0.661981914735
3.46,0.408604709441,3.46,0.661981914735
3.48,0.940419117255,3.48,0.382079594833
3.5,1.1083605092,3.5,0.354089362842
3.52,1.27630190114,3.52,0.130167506921
3.54,1.58419445303,3.54,0.214138202891
3.56,1.69615538099,3.56,-0.317676204923
3.58,2.14399909284,3.58,-0.429637132884
3.6,1.61218468502,3.6,-0.541598060845
3.62,1.92007723691,3.62,-0.905471076718
3.64,1.80811630895,3.64,-0.821500380747
3.66,1.75213584497,3.66,-0.709539452786
3.68,2.19997955682,3.68,-1.12939293264
3.7,2.39591118075,3.7,-1.43728548453
3.72,2.33993071677,3.72,-1.5212561805
3.74,2.42390141274,3.74,1.44570841046
3.76,2.64782326866,3.76,-0.905471076718
3.78,2.92772558856,3.78,-1.18537339662
3.8,2.84375489259,3.8,-1.96909989235
3.82,2.73179396463,3.82,-2.19302174827
3.84,2.73179396463,3.84,-2.24900221225
3.86,2.70380373264,3.86,-2.33297290822
3.88,2.59184280468,3.88,-2.16503151628
3.9,2.59184280468,3.9,-2.61287522812
3.92,2.45189164473,3.92,-2.36096314021
3.94,2.70380373264,3.94,-2.52890453215
3.96,2.36792094876,3.96,-2.44493383618
3.98,2.14399909284,3.98,-2.27699244424
4,2.28395025279,4,-2.27699244424
4.02,2.03203816487,4.02,-2.44493383618
4.04,2.17198932483,4.04,-2.50091430016
